country,player,position,club,age,jersey_number,squad_status,announcement_date,group,confederation,is_final_squad
México,"( 1997-08-29 ) August 29, 1997 (Aged 28)",Defensa,Unknown,26,27,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-09-01 ) September 1, 1997 (Aged 28)",Defensa,Unknown,26,16,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-09-05 ) September 5, 1997 (Aged 28)",Defensa,Unknown,26,4,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-09-11 ) September 11, 1997 (Aged 28)",Defensa,Unknown,26,18,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-09-13 ) September 13, 1997 (Aged 28)",Defensa,Unknown,26,0,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-10-06 ) October 6, 1997 (Aged 28)",Defensa,Unknown,26,19,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-10-07 ) October 7, 1997 (Aged 28)",Defensa,Unknown,26,1,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-10-23 ) October 23, 1997 (Aged 28)",Defensa,Unknown,26,18,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-11-07 ) November 7, 1997 (Aged 28)",Defensa,Unknown,26,1,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-11-14 ) November 14, 1997 (Aged 28)",Defensa,Manchester United,26,43,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-11-17 ) November 17, 1997 (Aged 28)",Defensa,Unknown,26,26,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-11-26 ) November 26, 1997 (Aged 28)",Defensa,West Ham United,26,10,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-12-10 ) December 10, 1997 (Aged 28)",Defensa,Unknown,26,57,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-12-19 ) December 19, 1997 (Aged 28)",Defensa,Unknown,26,17,Final,2026-05-26,A,CONCACAF,1
México,"( 1997-12-22 ) December 22, 1997 (Aged 28)",Defensa,Unknown,26,2,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-01-18 ) January 18, 1998 (Aged 28)",Defensa,Manchester United,26,26,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-01-24 ) January 24, 1998 (Aged 28)",Defensa,Unknown,26,12,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-01-30 ) January 30, 1998 (Aged 28)",Defensa,Unknown,26,19,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-02-04 ) February 4, 1998 (Aged 28)",Defensa,Unknown,26,18,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-03-05 ) March 5, 1998 (Aged 28)",Defensa,Unknown,26,61,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-03-16 ) March 16, 1998 (Aged 28)",Defensa,Unknown,26,23,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-03-22 ) March 22, 1998 (Aged 28)",Defensa,Unknown,26,38,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-03-24 ) March 24, 1998 (Aged 28)",Defensa,Unknown,26,2,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-04-02 ) April 2, 1998 (Aged 28)",Defensa,Unknown,26,37,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-04-06 ) April 6, 1998 (Aged 28)",Defensa,Unknown,26,58,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-04-15 ) April 15, 1998 (Aged 28)",Defensa,Unknown,26,10,Final,2026-05-26,A,CONCACAF,1
México,"( 1998-04-17 ) April 17, 1998 (Aged 28)",Defensa,Unknown,26,3,Final,2026-05-26,A,CONCACAF,1
