date,home_team,away_team,elo_diff,form_home,form_away,h2h,neutral,outcome
1911-05-21,Switzerland,Italy,95.52076139519954,0.5,0.6,0.0,0,1
1911-06-18,Sweden,Germany,126.17722421135159,0.4,0.8,0.5,0,-1
1911-08-15,Argentina,Uruguay,116.5463983576526,0.5,0.3,0.4,0,-1
1911-09-17,Sweden,Norway,107.77198875724343,0.2,1.0,1.0,0,1
1911-09-17,Uruguay,Argentina,123.15581376751766,0.7,0.7,0.4,0,-1
1911-10-08,Uruguay,Argentina,82.94577542606908,0.7,0.5,0.4,0,0
1911-10-09,Germany,Austria,104.37078392402645,0.4,0.5,0.0,0,-1
1911-10-22,Finland,Sweden,112.18267019964628,0.0,0.6,0.5,0,-1
1911-10-22,Argentina,Uruguay,124.08330150190227,0.4,0.4,0.2,0,1
1911-10-29,Germany,Sweden,64.71502639399637,0.4,0.4,1.0,0,-1
1911-10-29,Hungary,Switzerland,126.24706865626172,0.6,0.3,0.0,0,1
1911-10-29,Luxembourg,France,194.9816739188684,0.0,0.9,0.5,0,-1
1911-10-29,Uruguay,Argentina,56.19748198440243,0.5,0.5,0.4,0,1
1911-11-05,Hungary,Austria,111.48703299833824,0.6,0.3,0.2,0,1
1911-12-17,Germany,Hungary,26.025810306907715,0.4,0.4,0.0,0,-1
1912-01-28,France,Belgium,-2.624508809807139,0.3,0.4,0.2,0,0
1912-02-10,Northern Ireland,England,-319.7390819874663,0.2,0.3,0.0,0,-1
1912-02-10,France,Catalonia,27.764668032624286,0.4,0.0,0.5,0,1
1912-02-18,France,Switzerland,69.28947329515222,0.5,0.5,0.6666666666666666,0,1
1912-02-20,Belgium,Switzerland,169.9310916817526,0.5,0.5,0.5,0,1
1912-03-02,Scotland,Wales,275.28596364785494,0.6,0.5,0.2,0,1
1912-03-10,Belgium,Netherlands,11.743992588161973,0.7,0.0,0.2,0,-1
